TS,DATE_TIME,EQP_ID,OP,STATUS,RT,LOGFILE,ATTR
144,2024-09-05 11:39:46,POPRIG01,COMET,12563,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4905113404.r.zip,
143,2024-09-05 11:18:58,POPRIG01,COMET,START,,,
142,2024-09-05 10:17:36,POPRIG01,COMET,12563,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4905101735.r.zip,
141,2024-09-05 10:07:00,POPRIG01,COMET,START,,,
140,2024-09-04 14:08:33,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4904140832.r.zip,
139,2024-09-04 13:44:23,POPRIG01,COMET,START,,,
138,2024-09-04 11:41:23,POPRIG01,COMET,11044,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4904114123.r.zip,
137,2024-09-04 11:38:08,POPRIG01,COMET,START,,,
136,2024-09-04 11:37:37,POPRIG01,GEMUSR,PASS,,,
135,2024-08-29 14:14:28,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4829141427.r.zip,
134,2024-08-29 14:04:23,POPRIG01,COMET,START,,,
133,2024-08-29 14:00:56,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4829140055.r.zip,
132,2024-08-29 13:52:38,POPRIG01,COMET,START,,,
131,2024-08-29 13:52:23,POPRIG01,GEMUSR,PASS,,,
130,2024-08-28 16:48:50,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828164849.r.zip,
129,2024-08-28 16:38:07,POPRIG01,COMET,START,,,
128,2024-08-28 16:37:52,POPRIG01,GEMUSR,PASS,,,
127,2024-08-28 16:36:08,POPRIG01,COMET,14554,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828163607.r.zip,
126,2024-08-28 16:18:20,POPRIG01,COMET,START,,,
125,2024-08-28 16:13:14,POPRIG01,COMET,,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828161313.r.zip,
124,2024-08-28 16:12:04,POPRIG01,COMET,START,,,
123,2024-08-28 15:47:40,POPRIG01,COMET,11044,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828154740.r.zip,
122,2024-08-28 15:26:48,POPRIG01,COMET,START,,,
121,2024-08-28 14:53:08,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828145307.r.zip,
120,2024-08-28 14:38:11,POPRIG01,COMET,START,,,
119,2024-08-28 14:23:06,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828142306.r.zip,
118,2024-08-28 14:05:51,POPRIG01,COMET,START,,,
117,2024-08-28 14:05:37,POPRIG01,GEMUSR,PASS,,,
116,2024-08-28 13:48:16,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828134816.r.zip,
115,2024-08-28 13:28:22,POPRIG01,COMET,START,,,
114,2024-08-28 13:28:06,POPRIG01,GEMUSR,PASS,,,
113,2024-08-28 11:23:10,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828112310.r.zip,
112,2024-08-28 11:04:41,POPRIG01,COMET,START,,,
111,2024-08-28 10:10:19,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4828100436.r.zip,
110,2024-08-28 09:39:14,POPRIG01,COMET,START,,,
109,2024-08-27 16:54:49,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4827165447.r.zip,
108,2024-08-27 16:36:12,POPRIG01,COMET,START,,,
107,2024-08-27 15:44:16,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4827154416.r.zip,
106,2024-08-27 15:24:26,POPRIG01,COMET,START,,,
105,2024-08-27 15:24:12,POPRIG01,GEMUSR,PASS,,,
104,2024-08-27 15:23:53,POPRIG01,COMET,,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4827152353.r.zip,
103,2024-08-27 15:20:19,POPRIG01,COMET,START,,,
102,2024-08-26 14:48:02,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4826144801.r.zip,
101,2024-08-26 14:26:29,POPRIG01,COMET,START,,,
100,2024-08-26 13:49:18,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4826134335.r.zip,
99,2024-08-26 13:16:27,POPRIG01,COMET,START,,,
98,2024-08-26 13:16:16,POPRIG01,GEMUSR,PASS,,,
97,2024-08-07 15:57:12,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807155711.r.zip,
96,2024-08-07 15:47:04,POPRIG01,COMET,START,,,
95,2024-08-07 15:46:45,POPRIG01,GEMUSR,PASS,,,
94,2024-08-07 15:42:52,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807154252.r.zip,
93,2024-08-07 15:37:09,POPRIG01,COMET,START,,,
92,2024-08-07 15:31:37,POPRIG01,GEMUSR,PASS,,,
91,2024-08-07 15:27:14,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807152714.r.zip,
90,2024-08-07 15:26:55,POPRIG01,COMET,START,,,
89,2024-08-07 15:23:23,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807152322.r.zip,
88,2024-08-07 15:23:06,POPRIG01,COMET,START,,,
87,2024-08-07 15:22:56,POPRIG01,COMET,,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807152255.r.zip,
86,2024-08-07 15:21:27,POPRIG01,COMET,START,,,
85,2024-08-07 15:20:59,POPRIG01,GEMUSR,PASS,,,
84,2024-08-07 15:15:58,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807151558.r.zip,
83,2024-08-07 15:08:19,POPRIG01,COMET,START,,,
82,2024-08-07 15:07:58,POPRIG01,GEMUSR,PASS,,,
81,2024-08-07 14:51:42,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807145141.r.zip,
80,2024-08-07 14:34:54,POPRIG01,COMET,START,,,
79,2024-08-07 14:34:15,POPRIG01,GEMUSR,PASS,,,
78,2024-08-02 16:44:03,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4802164401.r.zip,
77,2024-08-02 16:21:05,POPRIG01,COMET,START,,,
76,2024-08-02 15:53:40,POPRIG01,GEMUSR,PASS,,,
75,2024-08-02 15:53:02,POPRIG01,GEMUSR,PASS,,,
74,2024-07-25 11:27:23,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4725112722.r.zip,
73,2024-07-25 11:16:45,POPRIG01,COMET,START,,,
72,2024-07-25 11:16:26,POPRIG01,GEMUSR,PASS,,,
71,2024-07-25 10:50:05,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4725105004.r.zip,
70,2024-07-25 10:32:31,POPRIG01,COMET,START,,,
69,2024-07-25 10:32:04,POPRIG01,GEMUSR,PASS,,,
68,2024-07-24 15:54:22,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724155422.r.zip,
67,2024-07-24 15:45:21,POPRIG01,COMET,START,,,
66,2024-07-24 15:45:02,POPRIG01,GEMUSR,PASS,,,
65,2024-07-24 15:29:12,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724152912.r.zip,
64,2024-07-24 15:12:44,POPRIG01,COMET,START,,,
63,2024-07-24 15:12:26,POPRIG01,GEMUSR,PASS,,,
62,2024-07-24 11:22:14,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724112213.r.zip,
61,2024-07-24 11:11:50,POPRIG01,COMET,START,,,
60,2024-07-24 11:11:29,POPRIG01,GEMUSR,PASS,,,
59,2024-07-24 10:36:09,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724103608.r.zip,
58,2024-07-24 10:26:28,POPRIG01,COMET,START,,,
57,2024-07-24 10:26:07,POPRIG01,GEMUSR,PASS,,,
56,2024-07-24 10:06:14,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724100613.r.zip,
55,2024-07-24 09:48:45,POPRIG01,COMET,START,,,
54,2024-07-24 09:48:26,POPRIG01,GEMUSR,PASS,,,
53,2024-07-18 22:51:15,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718225114.r.zip,
52,2024-07-18 22:41:50,POPRIG01,COMET,START,,,
51,2024-07-18 22:41:30,POPRIG01,GEMUSR,PASS,,,
50,2024-07-18 22:22:42,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718222241.r.zip,
49,2024-07-18 22:05:23,POPRIG01,COMET,START,,,
48,2024-07-18 22:04:59,POPRIG01,GEMUSR,PASS,,,
47,2024-07-18 17:18:31,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718171830.r.zip,
46,2024-07-18 16:59:21,POPRIG01,COMET,START,,,
45,2024-07-18 16:58:59,POPRIG01,GEMUSR,PASS,,,
